text,label,source
"According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??",0,LIAR
The Republicans just voted last year to end Medicare.,0,LIAR
"Says Travis County, home to Austin, is the most liberal county in the United States.",0,LIAR
"My stay at the Omni Chicago Hotel was wonderful! I had a last minute business trip, in downtown Chicago, and this is the first place I looked at. I looked at the pictures they show online of the rooms, and the facility itself, and I simply fell in love with the place. The indoor pool, outdoor sun decks, massages, this place really has all you could possibly need, whether you're on vacation, or needing a little stress relieved from a busy week. I mean they even have high speed wireless internet! I would definitely recommend the Omni Chicago Hotel, if you want a great place to stay near Downtown Chicago!
",1,Spam
Says David Vitter answered a prostitutes call minutes after he skipped a vote honoring 28 soldiers who gave their lives in defense of our freedom.,1,LIAR
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,0,LIAR
"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",1,LIAR
Says Mark Hass raised your taxes by $1 billion in a single day.,1,LIAR
The Providence teacher contract is one of the longest in the country.,0,LIAR
Says he could be the first president in modern history to be outspent.,0,LIAR
"Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.",0,LIAR
"The Foundation for Government Accountability, which supported a Florida law requiring drug testing of welfare recipients, is a Koch brothers affiliated group.",0,LIAR
"If black America were a country, itd be the 15th wealthiest nation in the world.",0,LIAR
Says Barack Obama began his presidency going on a worldwide apology tour.,0,LIAR
We lock up close to 2.4 million people in this country. Were locking up more people than China and Russia.,1,LIAR
"I stayed at the Chicago Hilton because it was host to a conference I was attending. Before I arrived I tried to find out about the 'In Room Fitness' program advertised on the corporate website. I called the 800 reservation number and the client service representative answered that the hotel did have a fitness center. I explained that I was inquiring about the 'In Room Fitness' advertised on their website. She put me on hold and came back a few minutes later and told me that there was no such thing and that I should call the property directly. I did and got the same response. I asked if they could reserve a treadmill for my room. Again, this was a problem. When I arrived at the hotel, no treadmill was available. When I went to tour the fitness room the first night I found that they close at 9pm. When I returned to the center the next day I discovered that they charge $13 per day to use the fitness equipment. The pool, track and locker room are free, but to use the treadmills, etc. you have to pay $13 per day. This charge is not noted anywhere -- not on the website, not in any of the guest service materials in the room. The food for the conference was mediocre, but the one room service meal I had was pretty good. During one of the conference lunch sessions the wait staff made so much noise we couldn't hear the speaker. The HVAC didn't work well in my room and I kept the windows open for most of my three night stay. The beds were comfortable with very nice linens. I tried to get a late checkout, which was offered on a card in my room. The woman who answered the phone would only give me an hour, not the 11-2pm range advertised in my room. The best service I received was from the folks in the Security office. The hotel does not have safes in guest rooms, so I became very friendly with Security office as I locked up my laptop between conference sessions and every other time I couldn't carry it out of the hotel. I visit Chicago at least once a year for personal travel and will continue to stay at the Marriott properties. Only wish I had done so for this visit.
",1,Spam
Husbands rarely beat up their wives. Single women get beaten up more.,1,LIAR
Wendy Davis is threatening to raise taxes up to $35 billion.,0,LIAR
Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.,0,LIAR
"Since day one uh when we met we just kinda clicked and um it’s just been great since there. Uh he’s very down to earth. really guy really easy guy to get along with. Uh he’ll help you out with anything you need. He uh geez um he likes the same music as me. Uh We kinda have the same humor. Uh like the same movies. Um super nice guy, never tries to put ya down. Um and uh we’ve just, I mean, gosh we’ve clicked since day one. It’s been a great friendship so far and I can’t wait to see where it goes from here. But uh but yeah he’s just I mean he’s an awesome guy.  ",0,MU3D
"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",0,LIAR
Thirteen hundred applicants in Rhode Island signed up for insurance through Obamacare.,1,LIAR
"Says the governor took away a billion dollars of rebates, so in real dollars, our property taxes have gone up 20 percent.",1,LIAR
Says Many people Ive talked to are angry that because of City Hall inaction we may have to spend a needless $500 million to cover and treat our pure drinking water.,0,LIAR
I never called for a partition of Iraq.,1,LIAR
This person is a really rude and talks bad about people to their face and says really nasty things and and she isn’t considerate and she always does she always uses things without asking and never does anything for other people and always only thinks about herself and doesn’t think about other people before she does things or says things and she takes things from people without asking and overall is a rude person.  ,0,MU3D
"Proposed cuts in the House farm bill mean 2 million less people on food stamps, 210,000 children will not receive school lunches or breakfasts.",1,LIAR
"President Obama budget request for veterans ismore than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third.",1,LIAR
The U.S. Postal Service doesnt run on your tax dollars. Its funded solely by stamps and postage.,1,LIAR
"The Talbott Hotel was very classy, professional, and luxurious. I loved how the staff was nice and respectful. I was treated like i was royalty when i was there, when in checked i was greeted by all of the people working behind the front desk and was offered a tour of the hotel. They took my bags and put them in my room while i was taking the tour and they even escorted me to my room right after we were done. This is a very nice and modern looking and their rooms are spacious and clean unlike other hotels in their area. I have recommended this hotel to all of my family and friends and would recommend it to anyone who is going to stay in that area. 
",1,Spam
Rob Cornilles is a Tea Party candidate.,0,LIAR
"For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.",0,LIAR
Terry McAuliffe has threatened to shut down Virginias government if his budget plan isnt supported.,0,LIAR
Sen. Jeff Merkley voted six times for more debt.,0,LIAR
Sharron Angle wants to wipe out Social Security.,1,LIAR
Says Scott Walkers listening sessions are invite-only and excluding the press.,1,LIAR
This (Ebola) is not as bad as SARSwas in 2003.,0,LIAR
"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",0,LIAR
"If lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated.",0,LIAR
"Says Lee Leffingwell has been mayor of Austin, Texas for about as long as Sarah Palin was governor of Alaska.",0,LIAR
"Obama creates new tax on Christmas trees, fees get passed on to consumers.",0,LIAR
There is no evidence to support the claim that Guantanamo is used as a recruiting tool for terrorists.,1,LIAR
"Somebody that I like, well, she has been with me my whole life and I appreciate everything she’s done for me. She’s very helpful, she’s very, um, she motivates me, she encouraged me to do the best that I could be. Um, she’s, she’s never doubted me. She always had my back on any occasion and she believe I have worth and believe I am capable of doing great things in this life. And that is the person that I really like and I respect her very much. And I love her.",1,MU3D
"As state Commerce secretary, Mary Burke drafted, sponsored and promoted budgets that raised taxes by billions, created high structural deficits and raided funds to finance huge spending hikes.",0,LIAR
I did not support the sequester.,1,LIAR
"Says the 1956 Republican Party platform supported equal pay, the minimum wage, asylum for refugees, protections for unions and more.",1,LIAR
On his support for Donald Trump.,1,LIAR
"Says Chris Christie fired 6,000 teachers.",1,LIAR
"Says that as president, Barack Obama has not gone to the Texas-Mexico border",0,LIAR
"Chicago has many wonderful luxury hotels for tourists and business travelers. When visiting the Windy City, however, the Conrad Hotel and Resort is one to avoid. While the description promises clean accommodations, luxury amenities, and 'deep soaking tubs,' in relity, the rooms fall short of expectations. I opened the door to my suite to find a musty smell in the room similar to that of an old neglected closet. A bit disappointed, I decided to ignore this fact. Hoping to take a nice long soak after my travels, I made my way to the bathroom. While I did find a large, deep bathtub, there was a hard water stain giving it a dingy look. Hardly what I expected for the price I paid for the accommodations. In the corner of the bathroom, I found a reminder of a pevious guest, a clump of blond hair. The maid service seemed to be lacking. Not to be deterred from enjoying my stay, I decided to watch television on the 42 inch flat screen I had been promised. Unfortunately, the battery to the remote control was dead. I called the front desk, at my wits' end, to complain about the issues, but was greeted by a desk clerk with a very sassy attitude who seemed to doubt my every word. Overall, I would definitely not recommend the Conrad Hotel and Resort in Chicago. My room was dirty, the staff was unfriendly, and the ammenities were few and far between. On my next stay in Chicago, I will definitely stay elsewhere.
",1,Spam
"The Hilton Chicago is one of the best Hotels I have ever had the good fortune to lodge at in my entire life. It is an extremely luxirious hotel located on the 'Cultural Michigan Avenue Mile', and it overlooks Grant Park, Lake Michigan, and Museum Campus. In addition to overlooking those wonderful sights, it's also located conveniently close to Chicago's convention center, McCormick Place Convention Center, as well as the business center, shopping and theatre. Furthermore, there are a myriad of attractions close to the hotel, such as Millenium Park, Buckingham Park, and the Sears Tower. The amenities offered by the Hilton Chicago hotel include 100% wireless Internet access in all guest rooms, 27' inch flat screen televisions, a Serenity Bed, and two-line direct dial phones. And on top of all that, the hotel is pet friendly! I'll definitely be staying here again.
",1,Spam
Were losing now over $500 billion a year in terms of imbalance with China.,0,LIAR
Rhode Island Treasurer Gina Raimondo raised the mortality rate from 65 to 87 and used a 1994 annuity chart to create the pension crisis.,0,LIAR
"Says Hillary Clinton was let off the hook for her email scandal while Gen. David Petraeus had his life destroyed for doing far, far less.",0,LIAR
"There are at least three sectors of the border, one in particular, that are just completely insecure.",0,LIAR
"Eighty-five percent . . . of Rhode Island tax returns that were filed for the year 2010 . . . were from individuals who earned $30,000 or less.",0,LIAR
President Obama has stopped using the phrase war on terror.,1,LIAR
"The Recovery Act saved 60,000 jobs among law enforcement officials, firefighters in the state of Florida, plus another 20,000 educators.",0,LIAR
"The state of Wisconsin pays plumbers, engineers and other attorneys much, much more than it pays attorneys to represent poor people.",1,LIAR
"The windy city fairmont hotel is one of chicago's best recently renovated to bring it up to modern day luxury. With fine dining atmosphere and hotel deluxe suites and the view that is breath taking. This hotel can accommodate the guest no matter what you desire. with a fabulous restaurant on the 15Th floor with dinning at its best. With it over looking the great Chicago area. So the next time your in the windy city come and stay with us where you will be pamper by our fine staff.
",1,Spam
"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.",1,LIAR
"This hotel is the best hotel ever in my opinion, and I really enjoy everything thing about it and I also have many different reasons why I like this hotel. From the entrance to every details on the inside all the way up to the rooms, everything seems to pocess some kind of style to it and not forgetting such a modern feel it has. I completely am astonished by this building and if I had to pick one to compare with this one I really would go for this one. It's like a person would have to see it to believe. It has a lot of modern designs. Thank you and this is my review and it's real. 
",1,Spam
"My wife and I travelled to Chicago and really were treated like royalty by the hotel staff! (My brother and his wife also stayed during this period.) The front desk staff, the concierge, the Star Bucks server, the restaurant, the lounge servers . . . all were wonderful! The rooms were spacious and the flat screen tv was really great! The bath room was a real plus ... it was huge and had everything one desires. Great view from 20th floor to Michigan Avenue below! Overall, great stay and highly recommended! 
",1,Spam
It is truethat we know that ISIS is present in Ciudad Juarez (Mexico),0,LIAR
"When he was asked a few years ago whether he could see himself lifting the cap on the payroll tax, (McCain) said, 'I could.' But today he's attacking me for holding the very same position.",1,LIAR
"Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.",0,LIAR
"Triple A rate with upgrade to view room was less than $200 which also included breakfast vouchers. Had a great view of river, lake, Wrigley Bldg. & Tribune Bldg. Most major restaurants, Shopping, Sightseeing attractions within walking distance. Large room with a very comfortable bed. 
",1,Spam
"Scott Walker was elected governor on a promise not to take campaign contributions from the date of his inauguration until the signing of the state budget, but broke it by taking nearly $5.6 million.",0,LIAR
"We stayed in the Amalfi in July 2010, 4th of July weekend. I was very apprehensive about leaving my Diesel Ford Excursion with the valet at Amalfi. It has a few modifications to the engine and can be damaged if not operated correctly. I explained the procedure to the valet drivers, and felt like it was a complete waste of time. When the vehicle was returned to me the valet driver did not let it idle down and cool the turbo off as I had instructed. When I tried to start it, it wasn't happy, but did finally start. I was so relieved to get it back I just wanted to leave. Driving away I noticed that the top speed recorded on the GPS was 105mph!!! (previous top speed was 95mph, done a few days earlier driving across South Dakota). I could just picture the flying Ferrari scene in Ferris Bueller's Day Off. I couldn't imagine where in the crowded Chicago traffic they found a place to go that fast, though it wouldn't take long to make that happen (see reference to modified engine above). A little while later we stopped for lunch and I noticed a dent in the front bumper. I contacted the hotel and was referred to their claims people. No remedy. Lesson learned. Brett
",1,Spam
Says Texas lawmakers last year expanded public educations share of state spending.,1,LIAR
"One of the interesting things about the Recovery Act was most of the projects came in under budget, faster than expected, because theres just not a lot of work there.",1,LIAR
Polling shows that nearly 74 percent of National Rifle Association members support requiring background checks for all gun sales.,1,LIAR
Gov. Rick Perry used $3.2 billion in stimulus dollars for schools to plug other holes in his budget.,0,LIAR
Congressman Nye voted against a bill which would have defunded the $5-10 billion the IRS needed toimplement health care legislation.,0,LIAR
Says U.S. Senate candidate Eric Hovde has no problem with raising taxes.,0,LIAR
"She’s a very intelligent, very, very active person. Uh, she’s a mechanical engineering major, she spends a lot of her times in studying but hey, you know, who, who wouldn’t. Um, we work out a lot together. We’re, we’re very active, we’re, you could almost say we’re two sides of the same coin. Um, similar enough where, you know, we can get along but different enough to keep things interested in. Um, she’s one of five people that I know, know that could probably literally outrun me, out-swim me, you know, out-bench me. She’s just an all-around fantastic person and I honestly could not ask for a better friend.",1,MU3D
John Cornyn voted twice in 2013 to back Obamas amnesty plan.,0,LIAR
A loophole still exists which allows members of Congress and high-powered executive branch appointees to exploit 'insider' knowledge of the financial industry in order to turn personal profit.,1,LIAR
"So, um, I have a friend and I met him in middle school. Um. We’ve been friends for, well, until now, so it’s been years since that’s been. Um. We met in science class and we like to hang out during the summer, um, all in middle and high school summer and then between college summers as well. Um. We would go and like, when we were younger we used to ride bikes and stuff like that. Now we drive around, go places, hang out, um, do stuff that guys do: video games, sports, stuff like that.",1,MU3D
"Every piece of legislation, just about, that I ever introduced (in the U.S. Senate) had a Republican co-sponsor.",0,LIAR
The man who killed a motorist who fatally struck a 2-year-old was back on the street because he had received a 13-year sentence for bank robbery but only served two years.,0,LIAR
Says Will Rasmussen supported a sales tax as recently as last spring.,0,LIAR
We have created more jobs in this last year than the Bush administration (did) in eight years.,1,LIAR
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",1,LIAR
Lloyd Doggett made millions off companies like Bank of America while they took taxpayer bailout money.,0,LIAR
Says Connie Mack was the only member of the Florida delegation that voted against a bill to help NASA.,1,LIAR
I haven't missed a vote since 1993.,1,LIAR
"We also just returned from a frigid weekend in Chicago. I booked the Ambassador East because of its great rate, $89.00 with my AAA card and we were delighted. Yes, the rooms show some signs of wear, but the warmth and charm far make up for it. This was such a pleasant change from the sleek, modern look of many other chain and boutique hotels. We became members of the I preferred program and were therefore eligible for an upgrade which we automatically got upon check in. We had a lovely suite with lots of sitting room and a comfortable bedroom and bathroom. We had wonderful food at the Pump Room which is classic. Our oatmeal there was so tastefully served, I'd love to have some right now! The location was great. Had it been normal winter weather, we could have easily walked to Michigan Avenue for shopping, but due to the minus 20 degree windchills, we opted for a cab which was less than a $5.00 fare. We also enjoyed a glass of wine around the fireplace in the lobby and found it so welcoming and cozy and not overcrowed at all. We would definitely stay here again! 
",1,Spam
"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days after which it sat on the president's desk for three days, while he was away on vacation.""",0,LIAR
Says Land Commissioner Jerry Patterson threatened to shoot him.,0,LIAR
Travis County is surrounded by red counties.,1,LIAR
Georgia has the fifth-highest number of uninsured people of any state in the union.,1,LIAR
Says Texas routinely gets a lot more federal spending than it pays in taxes.,1,LIAR
"The person I’m going to be talking about is one of my best friend’s boyfriends. Um he came across as a really nice guy, we all met freshman year and were friends, but once they started during he turned into a completely different person um he’s really like controlling and possessive of her um he always wants to be alone with her when we’re all hanging out and will literally kick us out of their room it’s kind of annoying um but other than that he can be like really cold and really rude, moody, like it’s almost like he’s the girl in the relationship it’s kind of weird but um yeah not a person I’m a fan of.",1,MU3D
Says the Affordable Care Act has already reduced the number of uninsured in Oregon by 10 percent.,1,LIAR
Theres no plan from Senate Democrats or the White House to replace the sequester.,0,LIAR
"The Katy Freeway, or Interstate 10 west of Houston, is the widest freeway in the world, with up to 26 lanes, including frontage road lanes.",0,LIAR
"This was my first time staying at the Hard Rock hotel in Chicago and I have nothing but hate for the entire experience. The building itself is maintained, however the staff is rude and inept to the point of making their customers feel physically ill. And while the outside appearance is fine and dandy, my room 325, was repulsive. As soon as the bellboy threw my luggage onto the room's ground and verbally demanded a tip, I noticed insects of all kinds scurrying around, the room was pungent with what smelled like human excrement, before I could say anything to the bellboy he had taken his tip and fled. Immediately I went to the front desk and was made to wait for over a half hour, a complete waste of time, because as soon as I had reported my problem I was told that no other rooms were available and I would have to make do, they did however say I could stay the night free of charge. The next morning as I was set to leave I decided I would try the breakfast, in hopes of finding one redeeming quality. Let me tell you, that breakfast tasted like space food with dirt and mold, the worst breakfast I have ever had in my entire life. Overall the employees are arrogant and callous, with the work ethic of a 2 year old child, they cannot cook, the room for me was poorly maintained, however they are good at refunding your money.
",1,Spam
"As a state senator in Illinois, Obama made sure women got equal pay for equal work.",1,LIAR
Says the Congressional Budget Office estimates a cap-and-trade program would cost the average family the equivalent of a postage stamp a day.,1,LIAR
"I travel often and whenever I travel I prefer to stay at Hilton properties. I am always satisfied with my stay at Hilton. locations. However, I have never stayed at a Homewood Suites location. This property was awesome and it was great to have the same satisfication when I arrived. The lobby area was excellent and the greeting from the front desk staff was wonderful! My room was in great condition! Absolutely no complaints. I just figured that a property like this should be recognized. Great job staff!!!! I will definitely return in the future!
",1,Spam
"This place was absolutely foul. From the minute I walked in, I knew making a reservation here was a mistake. The person at the counter would barely make eye contact with me and acted like I was asking a huge favor of them in order to check in. The room we requested (a room with double beds) was not available. They told me that when I made the reservation, requesting double beds was a 'request' and not a 'guarantee.' What's the point of making a reservation, then? When we got to the room, the room was totally gross. The decor was dated, the carpet was torn in spots and the whole place smelled musty and almost moldy. The bathroom had spots and stains all over it. I hesitate to think of the true cleanliness of the sheets. The 'complimentary' fitness area was a joke. One broken treadmill and a couple of mismatched dumbbells. Thanks but no thanks. We will definitely not return.
",1,Spam
Two-thirds of Granite Staters oppose the Tea Party and its agenda on labor unions.,0,LIAR
Saysproposal to boostteacherpension fundputs no mandate on local government.,0,LIAR
Says Mitt Romney has flip-flopped on abortion rights.,1,LIAR
Says $15-an-hourproposal in Cleveland is the most aggressive minimum wage increase in the country.,1,LIAR
"Attended a conference at the Palmer House and it truly surpassed my expectations. I had no idea it would be so large, so nice and with so many amenities. I also didn't realize that it is just around the corner from Milenium Park and the Art Institute. We were met at the door by the friendliest staff. Even with a long line at check-in, the entire process was about 10 minutes. We enjoyed the room with the up-to-date TV, decent size bathroom and comfortable bed. Had a fantastic breakfast buffet as well as a delicious take-out lunch at the main restaurant. Paid $200/night through the conference which seemed quite fair considering downtown Chicago. We have stayed at the Sofital which is much more upscale, but we also paid over $300/night there. 
",1,Spam
Says Gerald Daugherty is endorsed by the Austin American-Statesman.,0,LIAR
"This hotel has a great location and nice infrastructure. The river north area is full of great restaurants and the north bridge area is great for out of towners. The decor is lovely and a nice hold-over from when this was a Le Meridian. While the Conrad aspires to be in the top tier along with the Peninsula, the Four Seasons, the Ritz and Park Hyatt, it falls short. We and dinner at the Terrace Restarant outside the other day and were initially impressed with the setting and the selection. While the prices were similar to the Peninsula, we figured that it was a nice day and worth a try. Wow, were we ever disappointed. First off, we were told that we could have a seat but only stay until 7. OK, thats fine and we sat down. The waitress made a point to ask if anything was wrong, so that she could make it right. When we indicated that our glasses of champagne were not very full ($20 per glass), she consulted with the manager and then another manager (a heavier fellow in a dark suit). She came back and said that was the standard puor and that she would be glad to bring us additional glasses. What bothers me is not the outcome, but the fact that the management is not service focused. At a Four Seasons or the Peninsula, this would never happen and if we expressed any displeasure, it would be made right. At the Conrad, the Terrace manager just ignored it.
",1,Spam
Our average private sector employee pays 23 percent for their health care. Our average city worker in Ohio pays 9 percent.,1,LIAR
Dallas African-American and Hispanic students pass AP exams at a higher rate than any other place in America.,1,LIAR
Warren Buffett called credit default swaps financial weapons of mass destruction. And Greene was the first individual to use them.,1,LIAR
David Perdue opposes laws that provide equal pay protections for women.,0,LIAR
"I've never written a review before, but I just had to share my experience with Chicago's InterContinental Hotel. I booked a weekend at this hotel for my wife's birthday. We've never stayed at a luxury hotel before and I thought this would be a great experience for us. The horrors started when we first got to the counter. The clerk mixed up our rooms and when I pointed this out he got really snooty with me. We get to our room and the maid hadn't cleaned it yet! We had to wait around for that, so we went to the hotel's restaurant and the food was terrible and overpriced. Finally our room is finished and the the 'view' we were promised was non-existent. To top it off the maid did a terrible job cleaning. The toilet was dirty and we actually found a stain. A stain! on the sheets. What a waste of money. I pointed this out the concierge and we weren't even offered a refund or discount. Never again.
",1,Spam
Twenty-four percent of doctors in Virginia currently dont accept new Medicaid patients because the reimbursement rates are so low.,1,LIAR
"Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it.",0,LIAR
(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.,1,LIAR
Rick Scott doesnt have any ties to a lobbyist.,0,LIAR
Says North Carolina Rep. Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants.,1,LIAR
The Wisconsin Legislature raised taxes more than $5 billion in 2009.,0,LIAR
"I would love to see us have in this country what I helped lead in Arkansas...Amendment 65 (which) says that we believe life begins at conception, and that we ought to do everything in the world possible to protect it until its natural conclusion.",0,LIAR
"Barack Obama's health care plan ""would leave 15-million Americans out.""",1,LIAR
"Elegant and modernized hotel with great staff. Location is wonderful. The health club located in the hotel had everything needed to get my complete workout. I will be staying there again due to the wonderful experience and decent prices.
",1,Spam
Senator McCain would pay for part of his (health care) plan by making drastic cuts in Medicare $882-billion worth.,0,LIAR
Says Rick Scott has teamed up with a felon convicted of running a Ponzi scheme to smear Charlie Crist.,0,LIAR
"Says when I voted against [an increase in the minimum wage], it was in the 80s.",0,LIAR
A New York imam wants tohave a mosque at Ground Zero.,0,LIAR
"If the Supreme Court throws out the federal health care law, it would be an unprecedented, extraordinary step of overturning a law that was passed by a strong majority of a democratically elected Congress.",0,LIAR
Our tax rates are lower now than they were under Ronald Reagan. Theyre much lower than they were under Dwight Eisenhower.,1,LIAR
Crime rises in communities with casinos.,1,LIAR
Says Sen. Bernie Sanders has called President Barack Obama weak. Hes called him a disappointment.,1,LIAR
"GM has ""repaid our government loan, in full, with interest, five years ahead of the original schedule.""",1,LIAR
"Outside of recall elections, theres never been a public official removed from office in Wisconsin for anything but malfeasance in office.",1,LIAR
"Oil companies showered regulators (at the Minerals Management Service) with gifts and favors, and were essentially allowed to conduct their own safety inspections and write their own regulations.",1,LIAR
"Already, the mayor of Green Bay is having ribbon-cutting after ribbon-cutting for economic development around the new VA center.",0,LIAR
"When I planned my summer vacation, I was wanting to travel somewhere new. Chicago was on my mind because of the fast city life. I got in a flight to Chicago and arrived at the Hard Rock Hotel. It was grand and I spent a total of 4 days and nights there. The luxury was exotic and the location was right around the corner from most shopping and dining venues. The room service had me drooling because the food was so delicious, I could hardly picture not feeling satisfied. I met up with a few of my friends and they offered me a tour around town. I enjoyed the stay there and will come back sooner than later. 
",1,Spam
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",1,LIAR
"John Kitzhaber created 128,000 new jobs while governor.",1,LIAR
President Obamashealth care law is a government takeover of healthcare.,0,LIAR
"The law, right now, permits companies that close down American factories and offices and move those jobs overseas to take a tax deduction for the costs associated with moving the jobs to China or India or wherever.",1,LIAR
Barack Obama loves Che Guevara.,0,LIAR
"Says the Texas Forest Service planted 6,000 trees in the Dallas/Fort Worth area before the Super Bowl for unknown reasons at an unknown cost.",1,LIAR
"Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.",0,LIAR
"Al Sharpton went to Ferguson, Mo., and is declaring as a matter of fact that ...Michael Brown didnt use any deadly force or posed no deadly threat to the officer.",1,LIAR
Jasper County in Texas raised property taxes by 7 percent in order to pay for one death penalty case.,1,LIAR
The California governor says yes to poisoning more children with mercury and aluminum in vaccines.,0,LIAR
Romney signed government-mandated health care with taxpayer-funded abortions.,0,LIAR
There has been no net global warming for over a decade now.,0,LIAR
"On the VA: Over 300,000 veterans have died waiting for care.",0,LIAR
"A new manufacturing plant is slated to create about 3,000 jobs in central and northeast Georgia and create about a $3 billion infusion into the economy.",1,LIAR
"When Deborah took office, the (Sellwood Bridge) project had languished for years, with only $11 million in funds. With her leadership the remaining funding was secured that got the project moving forward.",1,LIAR
